task_folder,model_name,compile_success,junit_success,branch_covered,branch_missed,notes
Java_027_flipCase,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,6,0,ok
Java_027_flipCase,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_028_concatenate,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_028_concatenate,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_029_filterByPrefix,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,0,0,ok
Java_029_filterByPrefix,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,0,0,ok
Java_031_isPrime,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,6,0,ok
Java_031_isPrime,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,6,0,ok
Java_036_fizzBuzz,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,10,0,ok
Java_036_fizzBuzz,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,10,0,ok
Java_039_primeFib,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,10,0,ok
Java_039_primeFib,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,10,0,ok
